Walmart.com Order #,Walmart.com Order Line #,Walmart.com PO #,Walmart.com P.O. Line #,Partner Order #,Transaction Type,Transaction Date Time,Shipped Qty,Partner Item ID,Partner GTIN,Partner Item name,Product tax code,Shipping tax code,Gift wrap tax code,Ship to state,Ship to county,County Code,Ship to city,Zip code,shipping_method,Total tender to / from customer,Payable to Partner from Sale,Commission from Sale,Commission Rate,Gross Sales Revenue,Refunded Retail Sales,Sales refund for Escalation,Gross Shipping Revenue,Gross Shipping Refunded,Shipping refund for Escalation,Net Shipping Revenue,Gross Fee Revenue,Gross Fee Refunded,Fee refund for Escalation,Net Fee Revenue,Gift Wrap Quantity,Gross Gift-Wrap Revenue,Gross Gift-Wrap Refunded,Gift wrap refund for Escalation,Net Gift Wrap Revenue,Tax on Sales Revenue,Tax on Shipping Revenue,Tax on Gift-Wrap Revenue,Tax on Fee Revenue,Effective tax rate,Tax on Refunded Sales,Tax on Shipping Refund,Tax on Gift-Wrap Refund,Tax on Fee Refund,Tax on Sales refund for Escalation,Tax on Shipping Refund for Escalation,Tax on Gift-Wrap Refund for escalation,Tax on Fee Refund for escalation,Total NET Tax Collected,Tax Withheld,Adjustment Description,Adjustment Code,Original Item price,Original Commission Amount,Spec Category,Contract Category,Product Type,Flex Commission Rule,Return Reason Code,Return Reason Description,Fee Withheld Flag,Fulfillment Type,Fulfillment Details,Commission Incentive Program,Commission Saving,Customer Promo Type,Total Walmart Funded Savings,Total Walmart Funded Savings Program,Item Condition
200012284125282,1,108919670435641,1,,SALE,07/14/2024,1,WLM202311003BN,06976391063440,GetYes Large Corner Bar Cabinet with Glass Holder and Adjustable Shelves Storage Compact Metal Wood Rustic Brown,2038710,,,NY,,,New York,10031,Marketplace expedited,163.30,127.49,22.50,15.00,149.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,13.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.31,Y,,,,-22.50,Furniture,Furniture & Decor,Bar Cabinets,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012203732886,2,108920598466952,2,,SALE,07/22/2024,1,WLM202310009BK,06976391063181,GetYes 6-Drawer Modern Wood Dresser with Gold Handle Black Adults,2038710,,,AR,,,Paragould,72450,Marketplace value,207.80,161.49,28.50,15.00,189.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,17.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.81,Y,,,,-28.50,Furniture,Furniture & Decor,Dressers,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012182842052,1,108920184361045,1,,SALE,07/17/2024,1,WLM202311001BG,06976391063426,GetYes Royal Velvet High Back Armless Chair with Storage Adult White,2038710,,,FL,,,Fort Myers Beach,33931,Marketplace value,191.68,152.98,27.00,15.00,179.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,11.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.70,Y,,,,-27.00,Furniture,Furniture & Decor,Armchairs & Accent Chairs,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012169100533,9,108919979750298,9,,SALE,07/16/2024,1,WLM202310008GR,06976391063174,GetYes Wood Platform Twin Daybed with Pop up Trundle Gray,2038710,,,NM,,,Las Cruces,88001,Marketplace value,194.50,152.99,27.00,15.00,179.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,14.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.51,Y,,,,-27.00,Furniture,Furniture & Decor,Daybeds,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012132588461,2,108919877148730,2,,SALE,07/15/2024,1,WLM202404004WH,06976391064225,GetYes Storage Cabinet with Doors Flower Pattern Panel Modern Sideboard Buffet Cabinet Living Room Bedroom Entryway White,2038710,,,WV,,,Welch,24801,Marketplace standard,148.39,118.99,21.00,15.00,139.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.40,Y,,,,-21.00,Furniture,Furniture & Decor,Accent Cabinets,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012130920141,1,108920596612729,1,,SALE,07/21/2024,1,WLM202310004WH,06976391063136,GetYes 2Pcs Patchwork Accent Chair with Ottoman Set Comfy Chair with High Wingback Colorful,2038710,,,OK,,,Bethany,73008,Marketplace value,141.04,110.49,19.50,15.00,129.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,11.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.05,Y,,,,-19.50,Furniture,Furniture & Decor,Armchairs & Accent Chairs,BSE-82-2.0,,,Y,Seller Fulfilled,Delivery,,0.00,,,,New
200012126907711,1,108920288846756,1,,SALE,07/20/2024,1,WLM202401006SL,06976391064980,GetYes Dome Chicken Coop with Galvanized Steel Frame & Water-Resistant Oxford Tarp,2038710,,,MO,,,Poplar Bluff,63901,Marketplace value,316.41,254.99,45.00,15.00,299.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,16.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.42,Y,,,,-45.00,Animal Accessories,Pet Supplies,Chicken Coops,BSE-53-12.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012096401075,1,108920083846976,1,,SALE,07/17/2024,1,WLM202310010WH,06976391063198,GetYes 6-Drawer Modern Wood Dresser with Gold Handle Living room White Adults,2038710,,,AL,,,Mountain Brk,35223,Marketplace value,205.19,161.49,28.50,15.00,189.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,15.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.20,Y,,,,-28.50,Furniture,Furniture & Decor,Dressers,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012077999585,1,108920289518903,1,,SALE,07/21/2024,1,WLM202312018WH,06976391064294,GetYes 55 Reversible L-Shaped Desk with Drawers&Shelves File Cabinet Home Office Gaming White,2038710,,,WI,,,Stevens Point,54481,Marketplace value,221.54,179.00,30.99,14.76,209.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,11.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.55,Y,,,,-30.99,Furniture,Furniture & Decor,Desks,BSE-82-2.0,,,N,Seller Fulfilled,Delivery,,0.00,,,,
200012075948688,3,108916560316653,3,,ADJMNT,07/14/2024,2,WLM202310007WH,06976391063167,GetYes Wood Platform Twin Daybed with Pop Up Trundle for Bedroom Rustic Sturdy White,2038710,,,NJ,,,Edison,08817,Marketplace expedited,0.00,-65.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Y,Walmart Return Shipping Charge,5013,,,Furniture,Furniture & Decor,,,,,N,Seller Fulfilled,,,,,,,
